Author,Title,Edition,Publisher,Imprint,Course,Section,Professor,Course Capacity,Actual Enrollment,ISBN
ABULAFIA,CHRISTIAN JEWISH RELATIONS 1000-1300,11,TAYLOR,0,HIST 0096,75,"MARRONE,STEVEN P",12,0,9780582822962
ABULAFIA,EBK CHRISTIAN JEWISH RELATIONS 1000-130,1,AC YUZU,ROUTLEDGE,HIST 0096,75,"MARRONE,STEVEN P",12,0,2813024783815
ABULAFIA,EBK CHRISTIAN JEWISH RELATIONS 1000-130,1,AC YUZU,ROUTLEDGE,HIST 0096,75,"MARRONE,STEVEN P",12,0,2813026691903
AGRESTI,EBK STATISTICAL METHODS FOR THE SOCIAL,5,AC YUZU,MICROSOFT,PS 0103,01,"SCHILDKRAUT, DEBORAH",18,0,2813029008708
AGRESTI,EBK STATISTICAL METHODS FOR THE SOCIAL,5,AC YUZU,MICROSOFT,PS 0103,01,"SCHILDKRAUT, DEBORAH",18,0,2813029122664
AKRITAS,EBK PROBABILITY & STATISTICS WITH R FOR,1,AC YUZU,MICROSOFT,ES 0056,01,"SUH,HELEN",60,0,2813024155629
AKRITAS,EBK PROBABILITY & STATISTICS WITH R FOR,1,AC YUZU,MICROSOFT,ES 0056,01,"SUH,HELEN",60,0,2813025944642
ALBERT,EBK ASSISTIVE TECHNOLOGIES: PRINCIPLES,4,AC YUZU,MOSBY,ENP 0105;OTS 0105,01;01,"BUXTON,JENNIFER;BUXTON,JENNIFER",24;24,0;0,2813036475098
ALFARABI,POLITICAL WRITINGS:POLITICAL REGIME...,15,LONGLEAF,CORNELL,PS 0158,01,"MUFTI,MALIK",20,0,9780801453809
ALFARABI,POLITICAL WRITINGS:SELECTED APHORISMS..,01,LONGLEAF,CORNELL,PS 0158,01,"MUFTI,MALIK",20,0,9780801489136
ALKON,CULTIVATING FOOD JUSTICE,11,TRILITERAL,MIT PR,DLS 0214;NUTR 0285;UEP 0285,01;01;01,"AGYEMAN,JULIAN;AGYEMAN,JULIAN;AGYEMAN,JULIAN",0;10;20,0;0;0,9780262516327
ALKON,EBK CULTIVATING FOOD JUSTICE,0,AC YUZU,THE MIT PR,DLS 0214;NUTR 0285;UEP 0285,01;01;01,"AGYEMAN,JULIAN;AGYEMAN,JULIAN;AGYEMAN,JULIAN",0;10;20,0;0;0,2813027468870
ALLEN,CREATING WELCOMING SCHOOLS,07,TCP,0,CSHD 0165;CVS 0132;ED 0145,01;01;01,"MCWAYNE,CHRISTINE;MCWAYNE,CHRISTINE;MCWAYNE,CHRISTINE",20;0;20,0;0;0,9780807747896
ANGRIST,MASTERING 'METRICS,15,INGRAM PUB,PUP,EC 0144,01,"SETREN,ELIZABETH",20,0,9780691152844
ARMSTRONG,IN THE BEGINNING,96,PENG RAND,BALLANTINE,ILVS 0132;JS 0132;REL 0132,01;01;01,"ROSENBERG,JOEL;ROSENBERG,JOEL;ROSENBERG,JOEL",18;18;18,0;0;0,9780345406040
ATKINS,MOLECULAR QUANTUM MECHANICS,5TH 11,OXF,0,CHEM 0133,01,"SHULTZ,MARY JANE",30,0,9780199541423
AVERROES,"EBK AVERROES ON PLATO'S ""REPUBLIC""",1,AC YUZU,0,PS 0158,01,"MUFTI,MALIK",20,0,2813030578214
