Course Code,Course Name,Course Instructor,Parsed Course Name
2198-80001,Fa19-ARB-102132-01-Special Topics,"Shraytekh, Alexandra",Special Topics
2198-80002,Fa19-ARB-102461-01-Advanced Mod Std Arabic,,Advanced Mod Std Arabic
2198-80003,Fa19-ARB-101206-A-Elem Mod Standard Arabic,,Elem Mod Standard Arabic
2198-80004,Fa19-ARB-101206-B-Elem Mod Standard Arabic,"Abdul-Aziz, Rana",Elem Mod Standard Arabic
2198-80005,Fa19-ARB-101206-C-Elem Mod Standard Arabic,"Abdul-Aziz, Rana",Elem Mod Standard Arabic
2198-80006,Fa19-ARB-101206-D-Elem Mod Standard Arabic,"Jajji, Fadi",Elem Mod Standard Arabic
2198-80007,Fa19-ARB-101470-A-Intermed Std Arabic,"Jajji, Fadi",Intermed Std Arabic
2198-80008,Fa19-ARB-101470-B-Intermed Std Arabic,"Abdul-Aziz, Rana",Intermed Std Arabic
2198-80009,Fa19-ARB-101470-C-Intermed Std Arabic,"Jajji, Fadi",Intermed Std Arabic
2198-80011,"Fa19-ARB-101591-A-Arabic Reading,Comp,Conv",,"Arabic Reading,Comp,Conv"
2198-80013,Fa19-ARB-101206-E-Elem Mod Standard Arabic,"Abdul-Aziz, Rana",Elem Mod Standard Arabic
2198-80015,Fa19-ARB-141758-01-Arb Mus Ens-Tufts Takht,"Al-Rubaye, Layth",Arb Mus Ens-Tufts Takht
2198-80016,Fa19-CHNS-106568-01-Intensive Elem Chinese,"Wang, Mingquan",Intensive Elem Chinese
2198-80017,Fa19-CHNS-105543-A-Elementary Chinese,"Feng, Jianping",Elementary Chinese
2198-80018,Fa19-CHNS-105543-B-Elementary Chinese,"Feng, Jianping",Elementary Chinese
2198-80019,Fa19-CHNS-105543-C-Elementary Chinese,"Li, Huimin",Elementary Chinese
2198-80020,Fa19-CHNS-105543-D-Elementary Chinese,"Li, Huimin",Elementary Chinese
2198-80021,Fa19-CHNS-105745-A-Intermediate Chinese,"Wang, Shaomei",Intermediate Chinese
2198-80022,Fa19-CHNS-105745-B-Intermediate Chinese,"Wang, Shaomei",Intermediate Chinese
